feature_name,repair_applied,repair_type,original_value,repaired_value,cross_dataset_validation_status,notes
sc,yes,ordered_bin_code,>= 28.85,6,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sg,yes,ordered_bin_code,< 1.007,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sg,yes,ordered_bin_code,1.009 - 1.011,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sg,yes,ordered_bin_code,1.015 - 1.017,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sg,yes,ordered_bin_code,1.019 - 1.021,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sg,yes,ordered_bin_code,>= 1.023,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,< 118,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,118 - 123,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,123 - 128,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,128 - 133,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,133 - 138,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,138 - 143,5,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,143 - 148,6,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,148 - 153,7,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
sod,yes,ordered_bin_code,>= 158,8,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
su,no,none,,,not_safe_for_cross_dataset_validation,"Excel-like tokens are present, but the original ordinal/bin semantics cannot be recovered with high confidence from the observed values alone. High-risk feature due to Excel-like token or ordinal ambiguity."
wbcc,yes,ordered_bin_code,< 4980,0,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
wbcc,yes,ordered_bin_code,4980 - 7360,1,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
wbcc,yes,ordered_bin_code,7360 - 9740,2,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
wbcc,yes,ordered_bin_code,9740 - 12120,3,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
wbcc,yes,ordered_bin_code,12120 - 14500,4,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
wbcc,yes,ordered_bin_code,14500 - 16880,5,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
wbcc,yes,ordered_bin_code,16880 - 19260,6,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
wbcc,yes,ordered_bin_code,19260 - 21640,7,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
wbcc,yes,ordered_bin_code,>= 24020,8,repaired_candidate_only_not_cross_dataset_safe,Safe repair is limited to preserving order as within-dataset bin codes. This does not imply equivalence to dataset 336 continuous values.
