feature,dtype_336,dtype_857,non_null_count_336,non_null_count_857,missing_count_336,missing_count_857,unique_count_336,unique_count_857,representation_336,representation_857,unique_values_sample_336,unique_values_sample_857,consistency_status,recommended_action,recommended_modeling_type,type_plan_notes,manual_review_required,manual_review_reasons
htn,str,int64,398,200,2,0,2,2,binary_text_yes_no,binary_numeric,"[""no"", ""yes""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
pc,str,int64,335,200,65,0,2,2,binary_text_normal_abnormal,binary_numeric,"[""abnormal"", ""normal""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_normal_abnormal_vs_binary_numeric""]"
pcc,str,int64,396,200,4,0,2,2,binary_text_present_absent,binary_numeric,"[""notpresent"", ""present""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_present_absent_vs_binary_numeric""]"
pcv,float64,str,329,200,71,0,42,10,numeric_continuous,interval_text_bins,"[""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25""]","[""17.9 - 21.8"", ""21.8 - 25.7"", ""25.7 - 29.6"", ""29.6 - 33.5"", ""33.5 - 37.4"", ""37.4 - 41.3"", ""41.3 - 45.2"", ""45.2 - 49.1"", ""< 17.9"", ""\u2265 49.1""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
pe,str,int64,399,200,1,0,2,2,binary_text_yes_no,binary_numeric,"[""no"", ""yes""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_yes_no_vs_binary_numeric""]"
pot,float64,str,312,200,88,0,40,4,numeric_continuous,interval_text_bins,"[""2.5"", ""2.7"", ""2.8"", ""2.9"", ""3"", ""3.2"", ""3.3"", ""3.4"", ""3.5"", ""3.6"", ""3.7"", ""3.8""]","[""38.18 - 42.59"", ""7.31 - 11.72"", ""< 7.31"", ""\u2265 42.59""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
rbc,str,int64,248,200,152,0,2,2,binary_text_normal_abnormal,binary_numeric,"[""abnormal"", ""normal""]","[""0"", ""1""]",binary_encoding_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:binary_text_normal_abnormal_vs_binary_numeric""]"
rbcc,float64,str,269,200,131,0,45,9,numeric_continuous,interval_text_bins,"[""2.1"", ""2.3"", ""2.4"", ""2.5"", ""2.6"", ""2.7"", ""2.8"", ""2.9"", ""3"", ""3.1"", ""3.2"", ""3.3""]","[""2.69 - 3.28"", ""3.28 - 3.87"", ""3.87 - 4.46"", ""4.46 - 5.05"", ""5.05 - 5.64"", ""5.64 - 6.23"", ""6.23 - 6.82"", ""< 2.69"", ""\u2265 7.41""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
sc,float64,str,383,200,17,0,84,7,numeric_continuous,interval_text_bins,"[""0.4"", ""0.5"", ""0.6"", ""0.7"", ""0.8"", ""0.9"", ""1"", ""1.1"", ""1.2"", ""1.3"", ""1.4"", ""1.5""]","[""13.1 - 16.25"", ""16.25 - 19.4"", ""3.65 - 6.8"", ""6.8 - 9.95"", ""9.95 - 13.1"", ""< 3.65"", ""\u2265 28.85""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
sg,float64,str,353,200,47,0,5,5,numeric_low_cardinality,interval_text_bins,"[""1.005"", ""1.01"", ""1.015"", ""1.02"", ""1.025""]","[""1.009 - 1.011"", ""1.015 - 1.017"", ""1.019 - 1.021"", ""< 1.007"", ""\u2265 1.023""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_low_cardinality_vs_interval_text_bins""]"
sod,float64,str,313,200,87,0,34,9,numeric_continuous,interval_text_bins,"[""104"", ""111"", ""113"", ""114"", ""115"", ""120"", ""122"", ""124"", ""125"", ""126"", ""127"", ""128""]","[""118 - 123"", ""123 - 128"", ""128 - 133"", ""133 - 138"", ""138 - 143"", ""143 - 148"", ""148 - 153"", ""< 118"", ""\u2265 158""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
su,float64,str,351,200,49,0,6,6,numeric_low_cardinality,categorical_text,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""2-Feb"", ""2-Jan"", ""4-Apr"", ""4-Mar"", ""< 0"", ""\u2265 4""]",representation_mismatch,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""dataset_857:contains_excel_style_month_tokens"", ""cross_dataset_representation_mismatch:numeric_low_cardinality_vs_categorical_text""]"
wbcc,float64,str,294,200,106,0,89,9,numeric_continuous,interval_text_bins,"[""10200"", ""10300"", ""10400"", ""10500"", ""10700"", ""10800"", ""10900"", ""11000"", ""11200"", ""11300"", ""11400"", ""11500""]","[""12120 - 14500"", ""14500 - 16880"", ""16880 - 19260"", ""19260 - 21640"", ""4980 - 7360"", ""7360 - 9740"", ""9740 - 12120"", ""< 4980"", ""\u2265 24020""]",numeric_vs_binned_or_text_numeric,manual_review_required,manual_review_required,"Do not harmonize automatically. Confirm semantic direction, category coding, and whether cross-dataset transformation is methodologically acceptable.",yes,"[""cross_dataset_representation_mismatch:numeric_continuous_vs_interval_text_bins""]"
